frame 36, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 37, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 38, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 39, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 40, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 41, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 42, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 43, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 44, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 45, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 46, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 47, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 48, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 49, TPS: 29.606, Updating took: 1, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 50, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 51, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 52, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 53, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 54, TPS: 29.606, Updating took: 1, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 55, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 56, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 57, TPS: 29.606, Updating took: 1, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 58, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 59, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 8, Sys: 8, NumGC: 29
frame 60, TPS: 29.606, Updating took: 2, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 61, TPS: 29.606, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 62, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 63, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 64, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 65, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 66, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 67, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 68, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 69, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 70, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 71, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 72, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 73, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 74, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 75, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 76, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 77, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 78, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 79, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 80, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 81, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
frame 82, TPS: 30.545, Updating took: 0, Alloc: 0, TotalAlloc: 9, Sys: 8, NumGC: 30
